Any / Año;Codi_província / Código_provincia;Província / Provincia;Codi_municipi / Código_municipio;Municipi / Municipio;Registre / Registro;Centre / Centro;Codi_tipus_centre / Código_tipo_centro;Tipus_centre / Tipo_centro;Codi_dependència_funcional / Código_dependéncia_funcional;Dependència_funcional / Dependencia_funcional;Codi_règim / Código_régimen;Règim /Régimen;Adreça / Dirección
2021;12;CASTELLÓN;135;VILA-REAL;483;CENTRO UNIÓN DE MUTUAS VILA-REAL;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE ERMITA  269
2021;46;VALENCIA;190;PATERNA;485;CENTRO ASISTENCIAL DE UMIVALE (MATEPSS N. 15) PATERNA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA VICENT MORTES ALFONSO  S/N
2021;12;CASTELLÓN;128;VILAFAMES;487;CONSULTORIO AUXILIAR DE VILAFAMÉS;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE GERMANES MAS S/N
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;488;CENTRO SANITARIO DE AECC JUNTA PROVINCIAL CASTELLÓN;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;22;ORGANIZACIONES NO GUBERNAMENTALES;PRI;PRIVADO;PASEO RIBALTA 25 -27
2021;3 ;ALICANTE;139;VILLAJOYOSA/VILA JOIOSA (LA);489;UNIDAD DE CONDUCTAS ADICTIVAS DE LA VILA JOIOSA;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE JOAN TONDA ARAGONES  2
2021;46;VALENCIA;220;SAGUNTO/SAGUNT;492;CLÍNICA DENTAL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA CAMP DE MORVEDRE  30 1
2021;46;VALENCIA;133;GESTALGAR;493;CONSULTORIO AUXILIAR DE GESTALGAR;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ACEQUIA  2
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;495;SERV. PREV. DE RIESGOS LABORALES DE TABACALERA, S.A.;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;CALLE SEVILLA 2
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;496;CENTRO ASISTENCIAL FREMAP ALICANTE (MCSS  Nº 61);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA EUSEBIO SEMPERE  11
2021;46;VALENCIA;238;TAVERNES DE LA VALLDIGNA;499;C.A. DE TAVERNES DE VALLDIGNA (M. FREMAP);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE VALENCIA, DE  7
2021;46;VALENCIA;250;VALÈNCIA;500;INS. SANIT. DE SERV. DE PREV. BANCAJA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;AVDA BURJASOT 9 00000
2021;3 ;ALICANTE;660;ELDA;503;HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD;C.1.1;HOSPITALES GENERALES;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CTRA SAX  S/N
2021;46;VALENCIA;181;OLIVA;505;CENTRO ASISTENCIAL MUTUAL MIDAT CYCLOPS (MATEPSS Nº 1) OLIVA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CTRA GANDIA DE  34
2021;46;VALENCIA;903;SAN ANTONIO DE BENAGEBER;506;CONSULTORIO AUXILIAR DE SAN ANTONIO DE BENAGÉBER;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE PURISIMA CONCEPCION  S/N
2021;46;VALENCIA;140;ALBUIXECH;507;CONSULTORIO AUXILIAR ALBUIXECH;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE SANT RAMON 6
2021;46;VALENCIA;440;AYORA;509;CENTRO MÉDICO AYORA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;PLAZA DIPUTACIÓN 6 1
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;513;CENTRO ASISTENCIAL ASEPEYO CASTELLÓN;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA TARREGA MONTEBLANCO 012
2021;46;VALENCIA;197;POLINYA DE XUQUER;514;CONSULTORIO AUXILIAR DE POLINYÀ DE XÚQUER;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PRAJE COLON  1
2021;12;CASTELLÓN;126;VALL D'UIXO (LA);4;NEFROVALL, S.L.;C.2.5.5;CENTROS DE DIÁLISIS;20;PRIVADOS;PRI;PRIVADO;POLIG VERNICHA (LA)  S/N
2021;12;CASTELLÓN;126;VALL D'UIXO (LA);5;CENTRO DE UNIÓN DE MUTUAS (MCSS Nº 267) LA VALL D'UIXÓ;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE ILLA DE CABRERA  11
2021;46;VALENCIA;147;LLIRIA;10;CEDIAT - LIRIA;C.2.5.5;CENTROS DE DIÁLISIS;20;PRIVADOS;PRI;PRIVADO;CALLE PLA DE RASCANYA (DEL)  19
2021;46;VALENCIA;244;TORRENT;14;CEDIAT-TORRENT;C.2.5.5;CENTROS DE DIÁLISIS;20;PRIVADOS;PRI;PRIVADO;CALLE PARE VICENTE CABANES 1 BAJO
2021;3 ;ALICANTE;900;ALCOY/ALCOI;18;CENTRO DE SALUD DE ALCOY LA BASSA;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE LLUIS VIVES  S/N -
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;19;CENTRO DE SALUD DE ALICANTE CIUDAD JARDÍN;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE CLOT 2
2021;3 ;ALICANTE;650;ELCHE/ELX;20;CENTRO DE SALUD DE CARRÚS (ELCHE);C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ALFREDO SANCHEZ TORRES  16
2021;3 ;ALICANTE;790;IBI;21;CENTRO DE SALUD DE IBI SAGRARIO MORENO;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;AVDA RIU DE LES CAIXES  S/N
2021;3 ;ALICANTE;830;JIJONA/XIXONA;22;CENTRE DE SALUT DE XIXONA;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE CORTS VALENCIANES  S/N
2021;3 ;ALICANTE;970;ORBA;24;CENTRO DE SALUD DE ORBA;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ALTER (L')  12
2021;3 ;ALICANTE;140;VILLENA;25;CENTRO DE SALUD DE VILLENA I;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE SAN FRANCISCO  1
2021;46;VALENCIA;250;VALÈNCIA;26;CENTRO DE DIÁLISIS DIAVERUM NEFROCLUB;C.2.5.5;CENTROS DE DIÁLISIS;20;PRIVADOS;PRI;PRIVADO;AVDA PRIMERO DE MAYO 16  CALLE COSTA DE MARFIL , 6-8
2021;46;VALENCIA;250;VALÈNCIA;27;CLÍNICA ACUARIO;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE PERE II EL CERIMONIOS  7 DCHA-B
2021;3 ;ALICANTE;310;BENIDORM;30;HOSPITAL CLÍNICA BENIDORM;C.1.1;HOSPITALES GENERALES;20;PRIVADOS;PRI;PRIVADO;AVDA ALFONSO PUCHADES  8
2021;46;VALENCIA;164;MASSAMAGRELL;32;UNIDAD DE CONDUCTAS ADICTIVAS DE MASSAMAGRELL;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE METGE MIGUEL SERVET  48
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;35;INSTITUTO GINETEC, S.L.;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;AVDA GENERAL MARVA 10 BAJO
2021;46;VALENCIA;250;VALÈNCIA;46;CENTRO SANITARIO CLÍNICA OESTE;C.2.5.3;CENTROS DE INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO;20;PRIVADOS;PRI;PRIVADO;AVDA OEST 19 3ª
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;52;ENFERMERÍA DE LA PLAZA DE TOROS DE ALICANTE;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;6;MUNICIPIO;PUB;PÚBLICO;PLAZA ESPAÑA 7
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;53;UNIÓN DE MUTUAS CASTELLÓN;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA VIRGEN DE LIDON  69
2021;12;CASTELLÓN;320;BORRIANA/BURRIANA;56;CENTRO SANITARIO UNIÓN DE MUTUAS (MCSS Nº267) DE BURRIANA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE DE ROMA  2 BAJO
2021;12;CASTELLÓN;270;BENICARLO;58;CENTRO SANITARIO UNIÓN DE MUTUAS (MCSS Nº 267) BENICARLÓ;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE POLIGONO INDUSTRIAL EL COLLET  317 PARCELA
2021;46;VALENCIA;250;VALÈNCIA;60;CENTRO MILENIUM DENTAL SEGORBE;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE SEGORBE  6 BAJO
2021;46;VALENCIA;250;VALÈNCIA;61;FRESENIUS MEDICAL CARE SERVICES LEVANTE, S.A;C.2.5.5;CENTROS DE DIÁLISIS;20;PRIVADOS;PRI;PRIVADO;CALLE JERONI MUNYOS 7 BAJO
2021;46;VALENCIA;650;BENIPARRELL;62;CENTRO UNIÓN DE MUTUAS (MCSS Nº 267) BENIPARRELL;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA LEVANTE  61
2021;46;VALENCIA;212;REAL;63;CONSULTORIO AUXILIAR REAL;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE JAUME I  11
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;68;CENTRO DE RECONOCIMIENTOS DE CONDUCTORES SANTA CLARA;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE PINTOR VERGARA 4
2021;12;CASTELLÓN;138;VINAROS;69;CEMECO;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE SAN JAIME  10 BAJO
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;70;CENTRO RECONOCIMIENTO CONDUCTORES SAN CRISTOBAL;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE CONCEPCION ARENAL 16 BAJO
2021;46;VALENCIA;250;VALÈNCIA;72;CLÍNICA EL MAR;C.2.5.3;CENTROS DE INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO;20;PRIVADOS;PRI;PRIVADO;PLAZA ENRIQUE GRANADOS 5
2021;46;VALENCIA;250;VALÈNCIA;73;CLÍNICA FONTANA;C.1.2;HOSPITALES ESPECIALIZADOS;20;PRIVADOS;PRI;PRIVADO;CALLE ALICANTE 31
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;75;CENTRO MÉDICO LUMIARES- DON BOSCO;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE SAN JUAN BOSCO  9
2021;46;VALENCIA;244;TORRENT;76;UNIDAD DE SALUD SEXUAL Y REPRODUCTIVA TORRENT;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE PINTOR RIBERA 28
2021;46;VALENCIA;190;PATERNA;77;UNIDAD DE SALUD SEXUAL Y REPRODUCTIVA DE PATERNA;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA CLOT DE JOAN S/N
2021;46;VALENCIA;250;VALÈNCIA;78;ASCIRES CAMPANAR;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;AVDA CAMPANAR 114 - 116 (ENTRADA POR C/ MARQUÉS DE SAN JUAN, 6)
2021;46;VALENCIA;450;BARXETA;79;CONSULTORIO DE ATENCIÓN PRIMARIA DE BARXETA;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;AVDA PAIS VALENCIA (DEL) 1
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;80;HOSPITAL MEDIMAR INTERNACIONAL;C.1.1;HOSPITALES GENERALES;20;PRIVADOS;PRI;PRIVADO;AVDA DENIA  78
2021;46;VALENCIA;153;LLOCNOU DE SANT JERONI;84;CONSULTORIO AUXILIAR DE LLOCNOU DE SANT JERONI;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE MONESTIR DE COTALBA  1
2021;46;VALENCIA;250;VALÈNCIA;85;DEIÀ MÉDICA SL;C.2.5.3;CENTROS DE INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO;20;PRIVADOS;PRI;PRIVADO;CALLE BEATO GALVEZ  5
2021;3 ;ALICANTE;790;IBI;86;CENTRO ASISTENCIAL DE UMIVALE (MATEPSS N. 15) EN IBI;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA JUAN CARLOS I  12
2021;3 ;ALICANTE;310;BENIDORM;89;CENTRE ASSISTENCIAL UMIVALE (MCSS Nº 15) BENIDORM;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA BENIARDÁ 2  (EDIFICIO PLAYMON PLAZA, LOCAL 1-D)
2021;46;VALENCIA;184;ONTINYENT;91;C.A. DE ONTINYENT UMIVALE  (MATEPSS N. 15);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;PLAZA DE LA CONCEPCIO  13
2021;46;VALENCIA;186;PAIPORTA;93;UNIDAD DE SALUD SEXUAL Y REPRODUCTIVA PAIPORTA;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE CATARROJA  S/N
2021;46;VALENCIA;182;OLOCAU;97;CONSULTORIO AUXILIAR DE OLOCAU;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA MAJOR  49
2021;46;VALENCIA;760;BUGARRA;99;CONSULTORIO AUXILIAR DE BUGARRA;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ANCHA  9
2021;46;VALENCIA;250;VALÈNCIA;103;CENTRO ASISTENCIAL MUTUAL MIDAT CYCLOPS (MATEPSS Nº 1) VALENCIA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA MAESTRO RODRIGO (MUSICO)  11
2021;46;VALENCIA;145;XATIVA;104;CENTRO SANITARIO DE LA ENTIDAD MC MUTUAL (CENTRO ASISTENCIAL MUTUAL MIDAT CYCLOPS);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA GREGORIO MOLINA  8
2021;3 ;ALICANTE;580;COX;106;CONSULTORIO AUXILIAR DE COX;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ESCORIAL (EL)  S/N
2021;46;VALENCIA;246;TOUS;107;CONSULTORIO AUXILIAR DE TOUS;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;AVDA CONSTITUCION  15
2021;46;VALENCIA;460;BARX;109;CONSULTORIO AUXILIAR DE BARX;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE GANDIA  62
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;110;C.R.C. MONTEPÍO DE CONDUCTORES Y MECÁNICOS;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE NAVARRA 19 ENTLO
2021;46;VALENCIA;238;TAVERNES DE LA VALLDIGNA;112;CENTRO SANITARIO DE LA MUTUA UNIVERSAL  (MUGENAT) DE TAVERNES DE LA VALLDIGNA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;PASEO DE COLÓN (EDIFICIO JARDÍ II) 96
2021;46;VALENCIA;250;VALÈNCIA;113;CENTRO DISPENSARIO MUNICIPAL DE TOXICOMANÍAS;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;20;PRIVADOS;PRI;PRIVADO;PLAZA AMERICA  6
2021;3 ;ALICANTE;930;NOVELDA;116;CENTRO ASISTENCIAL IBERMUTUA (MCSS Nº 274) - NOVELDA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE POETA MIGUEL HERNANDEZ  11
2021;3 ;ALICANTE;140;VILLENA;122;CENTRO RECONOCIMIENTO DE CONDUCTORES IRIS;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;AVDA CONSTITUCION 124 1º
2021;3 ;ALICANTE;630;DENIA;124;C.R.C. MARQUÉS DE CAMPO;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE MARQUES DE CAMPO  35 4º A
2021;3 ;ALICANTE;630;DENIA;125;C.R.C. CRUZ ROJA ESPAÑOLA;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE CASTELL D'OLIMBROI 3
2021;3 ;ALICANTE;590;CREVILLENT;127;C.R.C. SAN VICENTE FERRER;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;CALLE VERGE DELS DOLORS  1 2º C
